0,"asdf","Nonsense
"
0,"bruh","Bruh
"
0,"hi","Hi
"
0,"capital of UK","London
"
1,"asdf","Nonsense
"
1,"How are you doing?","Good
"
1,"is the capital of London.","London
"
1,"Okay.","Okay
"
1,"Okay.  Let's get started.","Okay
"
1,"evaluate the expression 5^3","125
"
1,"evaluate 5^4","625
"
1,"how about 5^10","9765625
"
1,"that is wrong","Incorrect
"
1,"Indiana bread." Hello.","Hello.
"
1,"Fastest","Cheetah
"
1,"Fastest plane","SR-71
"
1,"Fastest","Cheetah
"
1,"4 cubed","Sixty-four
"
1,"Hello. How are you?","Fine
"
1,"What is the square root of 64?","The square root of 64 is 8, as 8 multiplied by 8 equals 64."
1,"hi","How can I assist you today?"
1,"hi","How can I assist you today?"
1,"hi","How can I assist you today?"
